date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:11	405/405	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Feb%202014%2008:56:11%20GMT	http://ultimo.infortis-themes.com/robots.txt		(from )
09:56:12	145731/145731	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:11%20GMT	http://ultimo.infortis-themes.com/demo/second2/	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/index.html	(from )
09:56:16	314087/314087	---M--	200	added ('OK')	text/css	etag:%2261d05a8-4cae7-4f0a9e68d45c0%22	http://ultimo.infortis-themes.com/demo/media/css/f7ebbf18651a19ff2a0a8e833c5a1f07.css	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/media/css/f7ebbf18651a19ff2a0a8e833c5a1f07.css	(from )
09:56:16	1570/1570	---M--	200	added ('OK')	text/css	etag:%2261d01f7-622-4f0a9d6ef7840%22	http://ultimo.infortis-themes.com/demo/media/css/f6e62d1da07bb38772c4bacfcef59296.css	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/media/css/f6e62d1da07bb38772c4bacfcef59296.css	(from )
09:56:17	116/116	---M--	200	added ('OK')	image/png	etag:%2261984ee-74-4c9a844fd9200%22	http://ultimo.infortis-themes.com/demo/media/wysiwyg/infortis/ultimo/_patterns/default/1.png	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/media/wysiwyg/infortis/ultimo/_patterns/default/1.png	(from )
09:56:18	225/225	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Feb%202014%2008:56:18%20GMT	http://fonts.googleapis.com/css?family=Bitter:%20&subset=latin	/home/rdjong/websites/templates1/fonts.googleapis.com/cssd78c.css	(from )
09:56:18	307/307	---M--	200	added ('OK')	image/png	etag:%2261989e3-133-4b9301cf17e80%22	http://ultimo.infortis-themes.com/demo/skin/frontend/ultimo/default/images/flags/default.png	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/skin/frontend/ultimo/default/images/flags/default.png	(from )
09:56:18	128/128	---M--	200	added ('OK')	image/png	etag:%2261989e4-80-4a4a6e1671c00%22	http://ultimo.infortis-themes.com/demo/skin/frontend/ultimo/default/images/flags/default_de.png	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/skin/frontend/ultimo/default/images/flags/default_de.png	(from )
09:56:18	131/131	---M--	200	added ('OK')	image/png	etag:%2261989e7-83-4bafe373c4980%22	http://ultimo.infortis-themes.com/demo/skin/frontend/ultimo/default/images/flags/it.png	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/skin/frontend/ultimo/default/images/flags/it.png	(from )
09:56:19	4750/4750	---MC-	200	added ('OK')	text/xml	date:Fri,%2014%20Feb%202014%2008:56:18%20GMT	http://ultimo.infortis-themes.com/demo/second2/rss/catalog/special/store_id/3/cid/0/	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/rss/catalog/special/store_id/3/cid/0/index.html	(from http://ultimo.infortis-themes.com/demo/second2/)
09:56:19	131/131	---M--	200	added ('OK')	image/png	etag:%2261989e6-83-4b93024188c80%22	http://ultimo.infortis-themes.com/demo/skin/frontend/ultimo/default/images/flags/fr.png	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/skin/frontend/ultimo/default/images/flags/fr.png	(from )
09:56:19	2949/2949	---M--	200	added ('OK')	image/png	etag:%226198a28-b85-4eb381651d400%22	http://ultimo.infortis-themes.com/demo/skin/frontend/ultimo/default/images/logo.png	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/skin/frontend/ultimo/default/images/logo.png	(from )
09:56:20	105338/105338	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:19%20GMT	http://ultimo.infortis-themes.com/demo/second2/ultimo-responsive-magento-theme/	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/ultimo-responsive-magento-theme/index.html	(from http://ultimo.infortis-themes.com/demo/second2/)
